SYMBOL,COMPANY,INDUSTRY,SERIES,FACEVALUE,PURPOSE,EXDATE,RECORDDATE,BCSTARTDATE,BCENDDATE,NDSTARTDATE,NDENDDATE,DOWNDAY
83GS2040,GOVERNMENT OF INDIA,-,GS,100, Interest Payment,2019-12-31,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
717GS2028,GOVERNMENT OF INDIA,-,GS,100, Interest Payment,2020-01-06,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
833GS2026,GOVERNMENT OF INDIA,-,GS,100, Interest Payment,2020-01-07,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
RITES,RITES Limited,-,EQ,10, Interim Dividend-Rs 6 Per Share,2020-01-09,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
759GS2026,GOVERNMENT OF INDIA,-,GS,100, Interest Payment,2020-01-09,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
726GS2029,GOVERNMENT OF INDIA,-,GS,100, Interest Payment,2020-01-10,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
617GS2021,GOVERNMENT OF INDIA,-,GS,100, Interest Payment,2020-01-13,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
JVLAGRO,JVL Agro Industries Limited,-,EQ,1, Annual General Meeting,2020-01-14,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
SIS,Security and Intelligence Services (India) Limited,-,EQ,5, Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share,2020-01-15,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
683GS2039,GOVERNMENT OF INDIA,-,GS,100, Interest Payment,2020-01-16,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
700GS2021,GOI LOAN 7.00% 2021,-,GS,100, Interest Payment,2020-01-17,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
SUVEN,Suven Life Sciences Limited,-,EQ,1, Demerger,2020-01-21,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
DELTACORP,Delta Corp Limited,-,EQ,1, Interim Dividend - Rs 0.75 Per Share,2020-01-22,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
ASTERDM,Aster DM Healthcare Limited,-,EQ,10, Buy Back,2020-01-23,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
TCS,Tata Consultancy Services Limited,-,EQ,1, Interim Dividend - Rs 5 Per Share,2020-01-23,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
VALUEIND,Value Industries Limited,-,EQ,10, Annual General Meeting,2020-01-24,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
HCLTECH,HCL Technologies Limited,-,EQ,2, Interim Dividend - Rs 2 Per Share,2020-01-24,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
732GS2024,GOVERNMENT OF INDIA,-,GS,100, Interest Payment,2020-01-24,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
84GS2024,GOVERNMENT OF INDIA,-,GS,100, Interest Payment,2020-01-24,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
WIPRO,Wipro Limited,-,EQ,2, Interim Dividend - Re 1 Per Share,2020-01-24,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
INDIGRID,India Grid Trust,-,IV,100, Distribution,2020-01-27,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
IIFLWAM,Iifl Wealth Management Limited,-,EQ,2, Interim Dividend- Rs 10 Per Share,2020-01-29,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
826GS2027,GOVERNMENT OF INDIA,-,GS,100, Interest Payment,2020-01-30,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
832GS2032,GOVERNMENT OF INDIA,-,GS,100, Interest Payment,2020-01-30,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
PRATIBHA,Pratibha Industries Limited,-,EQ,2, Annual General Meeting,2020-01-30,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
GRANULES,Granules India Limited,-,EQ,1, Interim Dividend - Re 0.25 Per Share,2020-01-30,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
GMMPFAUDLR,GMM Pfaudler Limited,-,EQ,2, Interim Dividend - Re 1 Per Share,2020-01-30,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
